classifier_type,training_type,variant_name,dir_name,global_step,epoch,overall_accuracy,positive_accuracy,negative_accuracy,accuracy_qwen,accuracy_llama
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,249,1,0.6739999999999999,0.947,0.401,0.947,0.401
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,498,1,0.6625,0.979,0.346,0.979,0.346
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,747,1,0.697,0.962,0.432,0.962,0.432
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,996,1,0.6819999999999999,0.983,0.381,0.983,0.381
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,1245,1,0.687,0.977,0.397,0.977,0.397
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,1494,1,0.712,0.971,0.453,0.971,0.453
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,1743,1,0.7335,0.958,0.509,0.958,0.509
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,1992,1,0.6739999999999999,0.983,0.365,0.983,0.365
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,2241,1,0.7435,0.908,0.579,0.908,0.579
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,2490,1,0.6675,0.988,0.347,0.988,0.347
bert,mixed_0_225,Mixed 0+225,bert_classifier_mixed_0_225,2498,1,0.7035,0.972,0.435,0.972,0.435
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,250,1,0.6114999999999999,0.988,0.235,0.988,0.235
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,500,1,0.7435,0.918,0.569,0.918,0.569
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,750,1,0.6335,0.989,0.278,0.989,0.278
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,1000,1,0.6575,0.966,0.349,0.966,0.349
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,1250,1,0.6875,0.976,0.399,0.976,0.399
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,1500,1,0.6759999999999999,0.961,0.391,0.961,0.391
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,1750,1,0.6765,0.974,0.379,0.974,0.379
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,2000,1,0.677,0.978,0.376,0.978,0.376
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,2250,1,0.7205,0.933,0.508,0.933,0.508
bert,mixed_0_375,Mixed 0+375,bert_classifier_mixed_0_375,2500,1,0.7055,0.983,0.428,0.983,0.428
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,250,1,0.5785,0.997,0.16,0.997,0.16
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,500,1,0.6619999999999999,0.979,0.345,0.979,0.345
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,750,1,0.6325000000000001,0.984,0.281,0.984,0.281
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,1000,1,0.7095,0.965,0.454,0.965,0.454
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,1250,1,0.696,0.973,0.419,0.973,0.419
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,1500,1,0.7185,0.969,0.468,0.969,0.468
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,1750,1,0.7075,0.979,0.436,0.979,0.436
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,2000,1,0.6935,0.984,0.403,0.984,0.403
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,2250,1,0.7749999999999999,0.939,0.611,0.939,0.611
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,2500,1,0.7225,0.981,0.464,0.981,0.464
bert,mixed_0_75,Mixed 0+75,bert_classifier_mixed_0_75,2507,1,0.736,0.976,0.496,0.976,0.496
bert,pure_0,Pure 0,bert_classifier_0_with_cls,250,1,0.48350000000000004,0.929,0.038,0.929,0.038
bert,pure_0,Pure 0,bert_classifier_0_with_cls,500,1,0.48900000000000005,0.931,0.047,0.931,0.047
bert,pure_0,Pure 0,bert_classifier_0_with_cls,750,1,0.497,0.978,0.016,0.978,0.016
bert,pure_0,Pure 0,bert_classifier_0_with_cls,1000,1,0.5025,0.999,0.006,0.999,0.006
bert,pure_0,Pure 0,bert_classifier_0_with_cls,1250,1,0.504,0.98,0.028,0.98,0.028
bert,pure_0,Pure 0,bert_classifier_0_with_cls,1500,1,0.5135000000000001,0.937,0.09,0.937,0.09
bert,pure_0,Pure 0,bert_classifier_0_with_cls,1750,1,0.5075,0.938,0.077,0.938,0.077
bert,pure_0,Pure 0,bert_classifier_0_with_cls,2000,1,0.5025,0.978,0.027,0.978,0.027
bert,pure_0,Pure 0,bert_classifier_0_with_cls,2250,1,0.5015,0.957,0.046,0.957,0.046
bert,pure_0,Pure 0,bert_classifier_0_with_cls,2500,1,0.5005,0.984,0.017,0.984,0.017
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,999,1,0.7315,0.502,0.961,0.961,0.502
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,1998,1,0.799,0.687,0.911,0.911,0.687
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,2997,1,0.8240000000000001,0.752,0.896,0.896,0.752
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,3996,1,0.7829999999999999,0.585,0.981,0.981,0.585
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,4995,1,0.7755,0.57,0.981,0.981,0.57
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,5994,1,0.7625,0.542,0.983,0.983,0.542
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,6993,1,0.7685,0.575,0.962,0.962,0.575
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,7992,1,0.8015,0.64,0.963,0.963,0.64
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,8991,1,0.7889999999999999,0.606,0.972,0.972,0.606
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,9990,1,0.7889999999999999,0.608,0.97,0.97,0.608
llama,mixed_0_225,Mixed 0+225,llm_classifier_llama_mixed_0_225,9991,1,0.7889999999999999,0.608,0.97,0.97,0.608
llama,mixed_0_375,Mixed 0+375,llm_classifier_llama_mixed_0_375,999,1,0.6925,0.441,0.944,0.944,0.441
