Classifier,Timestep,Timestep_Label,Qwen_Response_Accuracy,Llama_Response_Accuracy,Overall_Accuracy
BERT,0,$B_0$,53.400000000000006,96.39999999999999,74.9
BERT,75,$B_{75}$,98.9,96.8,97.85
BERT,225,$B_{225}$,99.9,96.89999999999999,98.4
BERT,375,$B_{375}$,98.8,95.7,97.25
Qwen_LLM,0,$Q_0$,37.1,99.2,68.15
Qwen_LLM,75,$Q_{75}$,38.3,98.7,68.5
Qwen_LLM,225,$Q_{225}$,52.7,99.1,75.9
Qwen_LLM,375,$Q_{375}$,56.00000000000001,99.3,77.65
Llama_LLM,0,$L_0$,52.900000000000006,97.7,75.30000000000001
Llama_LLM,75,$L_{75}$,81.8,99.7,90.75
Llama_LLM,225,$L_{225}$,91.7,99.4,95.55000000000001
Llama_LLM,375,$L_{375}$,84.8,99.5,92.15
