Classifier,Timestep,Timestep_Label,Qwen_Response_Accuracy,Llama_Response_Accuracy,Overall_Accuracy
BERT,0,$B_0$,74.95,97.15,86.05000000000001
BERT,75,$B_{75}$,90.39999999999999,97.35000000000001,93.875
BERT,225,$B_{225}$,90.99999999999999,95.89999999999999,93.44999999999999
BERT,375,$B_{375}$,90.45,95.8,93.125
Qwen_LLM,0,$Q_0$,65.0,99.3,82.15
Qwen_LLM,75,$Q_{75}$,60.199999999999996,98.85,79.52499999999999
Qwen_LLM,225,$Q_{225}$,64.7,99.25,81.975
Qwen_LLM,375,$Q_{375}$,64.65,99.2,81.92500000000001
Llama_LLM,0,$L_0$,72.50000000000001,97.55,85.025
Llama_LLM,75,$L_{75}$,79.3,99.64999999999999,89.475
Llama_LLM,225,$L_{225}$,83.4,99.05,91.225
Llama_LLM,375,$L_{375}$,80.55,99.44999999999999,90.0
