Classifier,Timestep,Timestep_Label,Qwen_Response_Accuracy,Llama_Response_Accuracy,Overall_Accuracy
BERT,0,$B_0$,72.7,90.60000000000001,81.65
BERT,75,$B_{75}$,36.9,85.0,60.95
BERT,225,$B_{225}$,52.300000000000004,76.3,64.3
BERT,375,$B_{375}$,58.5,88.2,73.35
Qwen_LLM,0,$Q_0$,57.3,94.5,75.9
Qwen_LLM,75,$Q_{75}$,53.6,89.60000000000001,71.60000000000001
Qwen_LLM,225,$Q_{225}$,43.0,90.2,66.6
Qwen_LLM,375,$Q_{375}$,36.8,93.4,65.1
Llama_LLM,0,$L_0$,67.4,96.1,81.75
Llama_LLM,75,$L_{75}$,47.9,92.5,70.2
Llama_LLM,225,$L_{225}$,67.4,91.8,79.6
Llama_LLM,375,$L_{375}$,43.8,92.4,68.1
